tip_label	Name
GCF_008634025.1	Streptomyces albofaciens JCM 4342 (high G+C Gram-positive bacteria)
GCF_000718015.1	Streptomyces catenulae (high G+C Gram-positive bacteria)
GCF_009862505.1	Streptomyces sp. SID7805 (high G+C Gram-positive bacteria)
GCF_001294335.1	Streptomyces chattanoogensis (high G+C Gram-positive bacteria)
GCF_014648695.1	Streptomyces albospinus (high G+C Gram-positive bacteria)
GCF_009834125.1	Streptomyces sp. GS7 (high G+C Gram-positive bacteria)
GCF_000805335.1	Streptomyces sp. CT34 (high G+C Gram-positive bacteria)
GCF_002891315.1	Streptomyces noursei (high G+C Gram-positive bacteria)
GCF_000816025.1	Streptomyces sp. 769 (high G+C Gram-positive bacteria)
GCF_000935185.3	Streptomyces noursei (high G+C Gram-positive bacteria)
GCF_003389455.1	Streptomyces inhibens (high G+C Gram-positive bacteria)
GCF_000829715.2	Streptomyces lydicamycinicus (high G+C Gram-positive bacteria)
GCF_009811575.1	Streptomyces glebosus (high G+C Gram-positive bacteria)
GCF_009811635.1	Streptomyces tubercidicus (high G+C Gram-positive bacteria)
GCF_003994375.1	Streptomyces lydicus (high G+C Gram-positive bacteria)
GCF_011290345.1	Streptomyces sp. ID38640 (high G+C Gram-positive bacteria)
GCF_001270575.1	Streptomyces decoyicus (high G+C Gram-positive bacteria)
GCF_002154415.1	Streptomyces angustmyceticus (high G+C Gram-positive bacteria)
GCF_009811555.1	Streptomyces caniferus (high G+C Gram-positive bacteria)
GCF_900187385.1	Streptomyces sp. 2114.4 (high G+C Gram-positive bacteria)
GCF_004125265.1	Streptomyces lydicus (high G+C Gram-positive bacteria)
GCF_000719365.1	Streptomyces sp. NRRL S-1448 (high G+C Gram-positive bacteria)
GCF_000720175.1	Streptomyces sp. NRRL S-337 (high G+C Gram-positive bacteria)
GCF_004125245.1	Streptomyces lydicus (high G+C Gram-positive bacteria)
GCF_000717745.1	Streptomyces violens (high G+C Gram-positive bacteria)
GCF_000720485.1	Streptomyces ochraceiscleroticus (high G+C Gram-positive bacteria)
GCF_900119365.1	Streptomyces atratus (high G+C Gram-positive bacteria)
GCF_014649535.1	Streptomyces gelaticus (high G+C Gram-positive bacteria)
GCF_009863125.1	Streptomyces sp. SID4936 (high G+C Gram-positive bacteria)
GCF_014648655.1	Streptomyces atratus (high G+C Gram-positive bacteria)
GCF_004125315.1	Streptomyces sp. M3 (high G+C Gram-positive bacteria)
GCF_002941025.1	Streptomyces sp. QL37 (high G+C Gram-positive bacteria)
GCF_001294345.1	Streptomyces sp. NRRL S-4 (high G+C Gram-positive bacteria)
GCF_016909575.1	Streptomyces sp. HB132 (high G+C Gram-positive bacteria)
GCF_000364805.1	Streptomyces sp. PAMC 26508 (high G+C Gram-positive bacteria)
GCF_000717025.1	Streptomyces atroolivaceus (high G+C Gram-positive bacteria)
GCF_001905505.1	Streptomyces sp. CB02058 (high G+C Gram-positive bacteria)
GCF_008704555.1	Streptomyces nitrosporeus (high G+C Gram-positive bacteria)
GCF_000698495.1	Streptomyces sp. NTK 937 (high G+C Gram-positive bacteria)
GCF_900095575.1	Streptomyces sp. DpondAA-F4 (high G+C Gram-positive bacteria)
GCF_013409565.1	Streptomyces fulvorobeus (high G+C Gram-positive bacteria)
GCF_000010605.1	Streptomyces griseus subsp. griseus NBRC 13350 (high G+C Gram-positive bacteria)
GCF_018619185.1	Streptomyces sp. McG3 (high G+C Gram-positive bacteria)
GCF_001434355.1	Streptomyces anulatus (high G+C Gram-positive bacteria)
GCF_002910905.1	Streptomyces sp. SM11 (high G+C Gram-positive bacteria)
GCF_002551175.1	Streptomyces sp. st77 (high G+C Gram-positive bacteria)
GCF_001746305.1	Streptomyces sp. EN23 (high G+C Gram-positive bacteria)
GCF_000261345.2	Streptomyces globisporus C-1027 (high G+C Gram-positive bacteria)
GCF_000718455.1	Streptomyces globisporus subsp. globisporus (high G+C Gram-positive bacteria)
GCF_016901035.1	Streptomyces durocortorensis (high G+C Gram-positive bacteria)
GCF_016906245.1	Streptomyces californicus (high G+C Gram-positive bacteria)
GCF_001905905.1	Streptomyces sp. CB02366 (high G+C Gram-positive bacteria)
GCF_002551145.1	Streptomyces sp. st115 (high G+C Gram-positive bacteria)
